generation,best_fitness,mean_fitness,best_mean_score,best_max_tile,best_mean_steps,best_vector
0,9553.6,6714.5,9553.6,1024,589.6,16.79096458 0.82028408 2.80154375 3.11239407 7.56058993 0.06794786 1.73414242
1,9740.8,8109.0,9740.8,1024,612.0,16.57796923 0.94857588 2.89209871 2.26764133 7.25525282 0.06738862 1.71600984
2,9740.8,8719.400000000001,9740.8,1024,612.0,16.57796923 0.94857588 2.89209871 2.26764133 7.25525282 0.06738862 1.71600984
3,11180.0,8594.6,11180.0,2048,647.8,16.79096458 0.51194033 2.92292747 3.11239407 7.56058993 0.06794786 1.73414242
4,11180.0,8791.8,11180.0,2048,647.8,16.79096458 0.51194033 2.92292747 3.11239407 7.56058993 0.06794786 1.73414242
